14797 14:51:17 X:-0.022 Y:+0.123 T:+11.5.
14835 14:51:17 X:-0.196 Y:+0.136 T:+11.5.
14872 14:51:18 X:-0.077 Y:+0.124 T:+11.5.
14910 14:51:18 X:+0.003 Y:+0.124 T:+11.5.
14948 14:51:19 X:-0.120 Y:+0.133 T:+11.5.
14986 14:51:19 X:-0.013 Y:+0.118 T:+11.5.
15024 14:51:19 X:-0.224 Y:+0.134 T:+11.5.
15062 14:51:20 X:+0.001 Y:+0.130 T:+11.5.
15100 14:51:20 X:-0.172 Y:+0.129 T:+11.5.
15138 14:51:21 X:-0.114 Y:+0.129 T:+11.5.
15176 14:51:21 X:-0.062 Y:+0.135 T:+11.5.
15214 14:51:22 X:-0.181 Y:+0.132 T:+11.5.
15252 14:51:22 X:-0.039 Y:+0.122 T:+11.5.
15290 14:51:22 X:-0.193 Y:+0.141 T:+11.5.
15328 14:51:23 X:-0.031 Y:+0.127 T:+11.5.
15366 14:51:23 X:-0.221 Y:+0.132 T:+11.5.
15478 14:51:24 X:-0.121 Y:+0.127 T:+11.5.
15516 14:51:25 X:-0.112 Y:+0.134 T:+11.5.
15554 14:51:25 X:-0.063 Y:+0.129 T:+11.5.
15592 14:51:26 X:-0.075 Y:+0.126 T:+11.5.
15630 14:51:26 X:-0.112 Y:+0.132 T:+11.5.
15668 14:51:26 X:-0.072 Y:+0.128 T:+11.5.
15706 14:51:27 X:-0.139 Y:+0.127 T:+11.5.
15744 14:51:27 X:-0.059 Y:+0.127 T:+11.5.
15782 14:51:28 X:-0.055 Y:+0.126 T:+11.5.
15820 14:51:28 X:-0.091 Y:+0.123 T:+11.5.
15858 14:51:28 X:-0.034 Y:+0.126 T:+11.5.
15896 14:51:29 X:-0.085 Y:+0.131 T:+11.5.
15934 14:51:29 X:-0.031 Y:+0.121 T:+11.5.
15972 14:51:30 X:-0.049 Y:+0.125 T:+11.5.
16010 14:51:30 X:-0.063 Y:+0.127 T:+11.5.
16048 14:51:30 X:-0.010 Y:+0.120 T:+11.5.
16086 14:51:31 X:-0.082 Y:+0.126 T:+11.5.
16123 14:51:31 X:-0.011 Y:+0.128 T:+11.5.
16161 14:51:32 X:-0.051 Y:+0.127 T:+11.5.
16199 14:51:32 X:-0.026 Y:+0.124 T:+11.5.
16237 14:51:32 X:-0.027 Y:+0.128 T:+11.5.
16275 14:51:33 X:-0.035 Y:+0.124 T:+11.5.
16313 14:51:33 X:-0.021 Y:+0.122 T:+11.5.
16351 14:51:34 X:-0.056 Y:+0.129 T:+11.5.
16389 14:51:34 X:-0.000 Y:+0.126 T:+11.5.
16427 14:51:34 X:-0.034 Y:+0.125 T:+11.5.
16465 14:51:35 X:-0.015 Y:+0.128 T:+11.5.
16503 14:51:35 X:-0.028 Y:+0.129 T:+11.5.
16541 14:51:36 X:-0.038 Y:+0.126 T:+11.5.
16579 14:51:36 X:-0.022 Y:+0.128 T:+11.5.
16617 14:51:37 X:-0.031 Y:+0.130 T:+11.5.
16655 14:51:37 X:+0.002 Y:+0.125 T:+11.5.
16693 14:51:37 X:-0.039 Y:+0.129 T:+11.5.
16731 14:51:38 X:-0.031 Y:+0.131 T:+11.5.
16769 14:51:38 X:-0.077 Y:+0.132 T:+11.5.
16807 14:51:39 X:+0.030 Y:+0.125 T:+11.5.
16845 14:51:39 X:-0.114 Y:+0.136 T:+11.5.
16883 14:51:39 X:+0.067 Y:+0.125 T:+11.5.
16921 14:51:40 X:-0.055 Y:+0.129 T:+11.5.
16959 14:51:40 X:-0.024 Y:+0.132 T:+11.5.
16997 14:51:41 X:+0.028 Y:+0.128 T:+11.5.
17035 14:51:41 X:-0.056 Y:+0.130 T:+11.5.
17073 14:51:41 X:+0.002 Y:+0.130 T:+11.5.
17111 14:51:42 X:-0.056 Y:+0.134 T:+11.5.
17149 14:51:42 X:+0.000 Y:+0.127 T:+11.5.
17187 14:51:43 X:-0.037 Y:+0.131 T:+11.5.
17225 14:51:43 X:+0.008 Y:+0.133 T:+11.5.
17263 14:51:43 X:-0.046 Y:+0.132 T:+11.5.
17301 14:51:44 X:-0.019 Y:+0.130 T:+11.5.
17339 14:51:44 X:-0.062 Y:+0.137 T:+11.5.
17377 14:51:45 X:+0.008 Y:+0.130 T:+11.5.
17415 14:51:45 X:-0.075 Y:+0.132 T:+11.5.
17453 14:51:45 X:-0.057 Y:+0.135 T:+11.5.
